,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
606,"2 BHK ApartmentAtchutapuram, Visakhapatnam",ijju sankararao,"Atchutapuram, Visakhapatnam",1000 ,"3,000 / sq ft", 30 L,Under Construction,Possession by Aug 20242 Bathrooms5th of 5floor,No
607,"3 BHK Apartment in sai signatureAganampudi, Visakhapatnam",madhu,"Aganampudi, Visakhapatnam",1500 ,"3,000 / sq ft", 45 L,Ready to move,1 - 2 years old2 Bathrooms3rd of 5floor,No
608,"3 BHK Apartment in Mahesh InfraconPMPalem, Visakhapatnam",Mahesh agent,"PMPalem, Visakhapatnam",1610 ,"4,534 / sq ft", 73 L,Under Construction,Possession by Oct 20232 Bathrooms4th of 5floor,No
609,"Residential Plot in Peram aditya royal2Geddapeta, Visakhapatnam",property advisor,"Geddapeta, Visakhapatnam",2394 ,793 / sq ft, 19 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
610,"3 BHK Apartment in Coastal Aspen ClassicGajuwaka, Visakhapatnam",honeyy group,"Gajuwaka, Visakhapatnam",1270 ,"3,543 / sq ft", 45 L,Ready to move,2 - 3 years old3 BathroomsResale ,No
611,"2 BHK Apartment in Honeyu sreenivasam97Lankelapalem, Visakhapatnam",padma,"Lankelapalem, Visakhapatnam",1000 ,"1,800 / sq ft", 18 L,Under Construction,Possession by Jul 20232 Bathrooms1st of 5floor,No
612,"2 BHK Apartment in Utkarsha EmeraldBheemunipatnam, Visakhapatnam",Utkarsha Constructions,"Bheemunipatnam, Visakhapatnam",1133 ,"3,500 / sq ft", 39.65 L,Ready to move,1 year old2 Bathrooms2nd of 5floor,No
613,"Residential Plot in peram aditya grand elite2Vizianagaram Tagarapuvalasa Road, Visakhapatnam",property advisor,"Vizianagaram Tagarapuvalasa Road, Visakhapatnam",3600 ,"1,750 / sq ft", 63 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
614,"Residential Plot in Sri Hari The Golden CityGidijala, Visakhapatnam",property advisor,"Gidijala, Visakhapatnam",1806 ,"1,937 / sq ft", 35 L,New,1 open sides 2 L booking amountSouth facing,No
615,"Residential Plot in Corals bayBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1806 ,"1,162 / sq ft", 21 L,New,1 open sides 2 L booking amountWest facing,No
616,"Residential Plot in royal avenueTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1806 ,"1,439 / sq ft", 26 L,New,1 open sides 2 L booking amountEast facing,No
617,"Residential Plot in sai krishna nagarKothavalasa, Visakhapatnam",property advisor,"Kothavalasa, Visakhapatnam",2010 ,"1,293 / sq ft", 26 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
618,"Residential Plot in seshadri townshipBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1900 ,"1,157 / sq ft", 22 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
619,"3 BHK Apartment in Viswanandh Avenues v19Vizag Srikakulam Highway, Visakhapatnam",Vishwanadh avenues,"Vizag Srikakulam Highway, Visakhapatnam",1320 ,"4,772 / sq ft", 63 L,Under Construction,Possession by Dec 20222 Bathrooms4th of 5floor,No
620,"3 BHK Apartment in Sun shine yandadaYarada, Visakhapatnam",Rajya laxmi,"Yarada, Visakhapatnam",1800 ,"5,388 / sq ft", 97 L,Ready to move,50 years old2 Bathrooms2nd of 5floor,No
621,"3 BHK Apartment in Coastal Aspen ClassicGajuwaka, Visakhapatnam",Santhosh kumar,"Gajuwaka, Visakhapatnam",1350 ,"3,333 / sq ft", 45 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
622,"2 BHK Apartment in Panchireddy Dasu Sai Satya ResidencyAganampudi, Visakhapatnam",durga,"Aganampudi, Visakhapatnam",1090 ,"3,500 / sq ft", 38.15 L,Ready to move,1 year old2 Bathrooms5th of 5floor,No
623,"Residential Plot in smartcity venturesTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",5200 ,"1,442 / sq ft", 75 L,New,2 open sides 2 L booking amountNorthWest facing,No
624,"Residential Plot in Sri Hari The Golden CityGidijala, Visakhapatnam",property advisor,"Gidijala, Visakhapatnam",5200 ,"1,826 / sq ft", 95 L,New,2 open sides 1 L booking amountNorthWest facing,No
625,"Residential Plot in Building Kohinoor HillsKothavalasa, Visakhapatnam",property advisor,"Kothavalasa, Visakhapatnam",810 ,"1,111 / sq ft", 9 L,New,1 open sides 1 L booking amountEast facing,No
626,"3 BHK Apartment in Aditya commercialAkkayyapalem, Visakhapatnam",vanaja,"Akkayyapalem, Visakhapatnam",2499 ,"9,000 / sq ft", 2.24 Cr,Under Construction,3 Bathrooms1st of 5floorNew ,No
627,"Residential Plot in GGR Perams Aditya AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",4500 ,755 / sq ft, 34 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
628,"3 BHK Apartment in Surya Teja ResidencePMPalem, Visakhapatnam",Siddhu,"PMPalem, Visakhapatnam",2400 ,"5,333 / sq ft", 1.28 Cr,Ready to move,1 year old3 Bathrooms1st of 5floor,No
629,"3 BHK Apartment in Surya Teja ResidencePMPalem, Visakhapatnam",Siddhu,"PMPalem, Visakhapatnam",2400 ,"5,333 / sq ft", 1.28 Cr,Ready to move,1 year old3 Bathrooms2nd of 5floor,No
630,"Residential Plot in Leo Grand KothavalasaKothavalasa, Visakhapatnam",kiran,"Kothavalasa, Visakhapatnam",1503 ,"1,000 / sq ft", 15.03 L,New,1 year old2 open sides 1 L booking amount,No
631,"Residential Plot in Amurtha grand kothavalasaKothavalasa Vizianagaram Road, Visakhapatnam",kiran,"Kothavalasa Vizianagaram Road, Visakhapatnam",1503 ,"1,222 / sq ft", 18.37 L,New,1 year old1 open sides 1 L booking amount,No
632,"Residential Plot in Sri Budha Leo ResortsKothavalasa, Visakhapatnam",kiran,"Kothavalasa, Visakhapatnam",1503 ,888 / sq ft, 13.36 L,New,1 year old2 open sides 1 L booking amount,No
633,"Residential Plot in navaratna emeraldBheemunipatnam, Visakhapatnam",property advisor,"Bheemunipatnam, Visakhapatnam",1800 ,"1,444 / sq ft", 26 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
634,"Residential Plot in Building Kohinoor HillsKothavalasa, Visakhapatnam",Rajesh,"Kothavalasa, Visakhapatnam",1800 ,"1,444 / sq ft", 25.99 L,New,2 open sides 2 L booking amountEast facing,No
635,"Residential Plot in True capital vencherAnandapuram, Visakhapatnam",Rajesh,"Anandapuram, Visakhapatnam",1800 ,"1,444 / sq ft", 25.99 L,New,2 open sides 2 L booking amountEast facing,No
636,"Residential Plot in Dreem vally BhemiliBheemunipatnam, Visakhapatnam",Rajesh,"Bheemunipatnam, Visakhapatnam",1800 ,"3,222 / sq ft", 57.99 L,New,2 open sides 2 L booking amountEast facing,No
637,"2 BHK Apartment in Coastal Aspen ClassicGajuwaka, Visakhapatnam",Manideep kumar,"Gajuwaka, Visakhapatnam",1040 ,"3,653 / sq ft", 38 L,Ready to move,2 - 3 years old2 Bathrooms2nd of 5floor,No
638,"9 BHK Independent HouseNH 5, Visakhapatnam",Rao LK,"NH 5, Visakhapatnam",3600 ,"2,250 / sq ft", 81 L,Ready to move,1 year old9 BathroomsNew ,No
639,"2 BHK ApartmentLankelapalem, Visakhapatnam",Gusidi Lavanya kumar,"Lankelapalem, Visakhapatnam",865 ,"2,658 / sq ft", 23 L,Under Construction,Possession by Jul 20222 BathroomsNew ,No
640,"2 BHK Apartment in Honeyy sreenivasam 97Lankelapalem, Visakhapatnam",RAVIKUMAR TELU,"Lankelapalem, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Jul 20242 Bathrooms1st of 5floor,No
641,"2 BHK Apartment in Mahesh InfraconPMPalem, Visakhapatnam",Mahesh agent,"PMPalem, Visakhapatnam",1080 ,"4,074 / sq ft", 44 L,Under Construction,Possession by May 20232 Bathrooms3rd of 5floor,No
642,"2 BHK Apartment in Sardar NestGajuwaka, Visakhapatnam",SARDAR PROJECTS,"Gajuwaka, Visakhapatnam",1125 ,"3,200 / sq ft", 36 L,Under Construction,Possession by Jul 20222 Bathrooms1st of 5floor,No
643,"3 BHK Apartment in Sree sai parvathiPMPalem, Visakhapatnam",smart homes,"PMPalem, Visakhapatnam",1250 ,"4,760 / sq ft", 59.5 L,Under Construction,Possession by Jan 20233 Bathrooms5th of 5floor,No
644,"3 BHK Apartment in Sky mansionPMPalem, Visakhapatnam",smart homes,"PMPalem, Visakhapatnam",2000 ,"4,700 / sq ft", 94 L,Ready to move,1 - 2 years old3 Bathrooms3rd of 5floor,No
645,"2 BHK Apartment in Utkarsha Capital TowersMadhurawada, Visakhapatnam",Utkarsha Constructions,"Madhurawada, Visakhapatnam",1249 ,"5,000 / sq ft", 62.45 L,Under Construction,Possession by Dec 20252 Bathrooms4th of 8floor,Yes
646,"2 BHK Apartment in Utkarsha Capital TowersMadhurawada, Visakhapatnam",Utkarsha Constructions,"Madhurawada, Visakhapatnam",1233 ,"5,000 / sq ft", 61.65 L,Under Construction,Possession by Dec 20252 Bathrooms3rd of 8floor,Yes
647,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",2700 ,"1,555 / sq ft", 42 L,New,2 open sides 2 L booking amountNorthWest facing,No
648,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",2700 ,"2,037 / sq ft", 55 L,New,2 open sides 2 L booking amountSouthWest facing,No
649,"Residential Plot in Sivashakthi Highway City Phase 2Tarluvada, Visakhapatnam",property advisor,"Tarluvada, Visakhapatnam",2700 ,"1,925 / sq ft", 52 L,New,2 open sides 2 L booking amountNorthEast facing,No
650,"Residential Plot in alluri gardenDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",2700 ,"1,666 / sq ft", 45 L,New,2 open sides 2 L booking amountNorthEast facing,No
651,"Residential Plot in sukshetra greensKapuluppada, Visakhapatnam",property advisor,"Kapuluppada, Visakhapatnam",2700 ,"2,444 / sq ft", 66 L,New,2 open sides 2 L booking amountNorthEast facing,No
652,"Residential Plot in peram aditya royalGeddapeta, Visakhapatnam",property advisor,"Geddapeta, Visakhapatnam",2700 ,"1,037 / sq ft", 28 L,New,1 open sides 2 L booking amountEast facing,No
653,"Residential Plot in seshadri townshipBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1800 ,"1,250 / sq ft", 22.5 L,New,1 open sides 2 L booking amountNorth facing,No
654,"Residential Plot in seshadri townshipBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1647 ,"1,214 / sq ft", 20 L,New,1 open sides 2 L booking amountNorth facing,No
655,"Residential Plot in golden cityAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",1350 ,"1,925 / sq ft", 26 L,New,1 open sides 2 L booking amountNorth facing,No
656,"Residential Plot in golden citySontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1350 ,"1,925 / sq ft", 26 L,New,1 open sides 2 L booking amountNorth facing,No
657,"Residential Plot in amrutha grangKothavalasa Vizianagaram Road, Visakhapatnam",property advisor,"Kothavalasa Vizianagaram Road, Visakhapatnam",2700 ,888 / sq ft, 24 L,New,2 open sides 2 L booking amountNorthWest facing,No
658,"Residential Plot in Srika Green Hill ViewSontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",2700 ,"1,666 / sq ft", 45 L,New,2 open sides 2 L booking amountNorthWest facing,No
659,"Residential Plot in Peram Aditya Varna Phase IINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1197 ,"2,339 / sq ft", 28 L,New,1 open sides 2 L booking amountEast facing,No
660,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",2650 ,"2,226 / sq ft", 59 L,New,2 open sides 2 L booking amountSouthWest facing,No
661,"Residential Plot in Sivashakthi Highway City Phase 2Tarluvada, Visakhapatnam",property advisor,"Tarluvada, Visakhapatnam",1800 ,"1,833 / sq ft", 33 L,New,1 open sides 2 L booking amountWest facing,No
662,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,"1,555 / sq ft", 28 L,New,1 open sides 2 L booking amountNorth facing,No
663,"Residential Plot in GGR Perams Aditya AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",4500 ,"1,111 / sq ft", 50 L,New,1 open sides 2 L booking amountNorth facing,No
664,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,"1,555 / sq ft", 28 L,New,1 open sides 2 L booking amountWest facing,No
665,"Residential Plot in Srika Green Hill ViewSontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,1 open sides 2 L booking amountEast facing,No
666,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",3600 ,"2,000 / sq ft", 72 L,New,1 open sides 2 L booking amountEast facing,No
667,"Residential Plot in coastal parkBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1800 ,722 / sq ft, 13 L,New,1 open sides 1 L booking amountEast facing,No
668,"Residential Plot in Peram Aditya RoyalDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",1350 ,"1,111 / sq ft", 15 L,New,1 open sides 1 L booking amountNorth facing,No
669,"Residential Plot in Siri Venkateswara Developers Nandanavanam 3 revidi VisakhapatnamTagarapuvalasa Main Road, Visakhapatnam",property advisor,"Tagarapuvalasa Main Road, Visakhapatnam",1800 ,"1,166 / sq ft", 21 L,New,1 open sides 2 L booking amountNorth facing,No
670,"Residential Plot in Amitha Oka GardensTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,833 / sq ft, 15 L,New,1 open sides 1 L booking amountEast facing,No
671,"Residential Plot in srujana 2Dakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",1803 ,"1,109 / sq ft", 20 L,New,1 open sides 2 L booking amountNorthWest facing,No
672,"Residential Plot in Utkarsha ParadiseBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1803 ,"1,442 / sq ft", 26 L,New,1 open sides 2 L booking amountWest facing,No
673,"Residential Plot in Srika Green Hill ViewSontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1800 ,"1,555 / sq ft", 28 L,New,1 open sides 1 L booking amountEast facing,No
674,"Residential Plot in Navins Patra AaranyaTarluvada, Visakhapatnam",property advisor,"Tarluvada, Visakhapatnam",1800 ,"1,722 / sq ft", 31 L,New,1 open sides 2 L booking amountWest facing,No
675,"Residential Plot in o2 vallySimhachalam, Visakhapatnam",property advisor,"Simhachalam, Visakhapatnam",1800 ,"1,722 / sq ft", 31 L,New,1 open sides 2 L booking amountWest facing,No
676,"Residential Plot in Peram Aditya Varna Phase IINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1800 ,"2,111 / sq ft", 38 L,New,1 open sides 2 L booking amountWest facing,No
677,"Residential Plot in Utkarsha ParadiseBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1800 ,"1,444 / sq ft", 26 L,New,1 open sides 2 L booking amountWest facing,No
678,"Residential Plot in golden city2Anandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",1800 ,"1,833 / sq ft", 33 L,New,1 open sides 2 L booking amountNorth facing,No
679,"Residential Plot in Peram Aditya Lahari IIModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1800 ,833 / sq ft, 15 L,New,1 open sides 1 L booking amountNorth facing,No
680,"Residential Plot in the golden cityAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",1805 ,"1,939 / sq ft", 35 L,New,1 open sides 2 L booking amountNorth facing,No
681,"Residential Plot in Peram Aditya Varna Phase IINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1800 ,"2,111 / sq ft", 38 L,New,1 open sides 2 L booking amountEast facing,No
682,"Residential Plot in Amrutha grandKothavalasa, Visakhapatnam",property advisor,"Kothavalasa, Visakhapatnam",1800 ,888 / sq ft, 16 L,New,1 open sides 1 L booking amountEast facing,No
683,"Residential Plot in GGR Perams Aditya AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",4500 ,"1,155 / sq ft", 52 L,New,1 open sides 2 L booking amountNorth facing,No
684,"Residential Plot in srujana 2Dakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",1803 ,"1,109 / sq ft", 20 L,New,1 open sides 2 L booking amountNorthWest facing,No
685,"Residential Plot in Utkarsha ParadiseBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1803 ,"1,442 / sq ft", 26 L,New,1 open sides 2 L booking amountWest facing,No
686,"Residential Plot in Srika Green Hill ViewSontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1800 ,"1,555 / sq ft", 28 L,New,1 open sides 1 L booking amountEast facing,No
687,"Residential Plot in golden wavesBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",3240 ,"1,080 / sq ft", 35 L,New,2 open sides 2 L booking amountSouthEast facing,No
688,"Residential Plot in Building Kohinoor HillsKothavalasa, Visakhapatnam",property advisor,"Kothavalasa, Visakhapatnam",9000 ,"1,111 / sq ft", 1 Cr,New,2 open sides 5 L booking amountSouthEast facing,No
689,"Residential Plot in royal avenueTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",3240 ,"1,419 / sq ft", 46 L,New,1 open sides 1 L booking amountNorth facing,No
690,"Residential Plot in The Golden City phase2Anandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",3240 ,"1,913 / sq ft", 62 L,New,1 open sides 1 L booking amountNorth facing,No
691,"2 BHK Apartment in  HeightsPothinamallayya Palem, Visakhapatnam",devudu babu,"Pothinamallayya Palem, Visakhapatnam",900 ,"4,333 / sq ft", 39 L,Under Construction,Possession by Dec 20222 Bathrooms2nd of 5floor,Yes
692,"2 BHK Apartment in YTY PrimeMadhurawada, Visakhapatnam",devudu babu,"Madhurawada, Visakhapatnam",1120 ,"4,553 / sq ft", 51 L,Ready to move,1 year old2 Bathrooms1st of 5floor,No
693,"Residential Plot in peram aditya grand elite1Tagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",2700 ,"1,666 / sq ft", 45 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
694,"Residential Plot in Akshay vencherKurmannapalem, Visakhapatnam",Rajesh,"Kurmannapalem, Visakhapatnam",1620 ,"2,222 / sq ft", 36 L,New,1 year old2 open sides 2 L booking amount,No
695,"Residential Plot in Peram AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",18000 ,833 / sq ft, 1.5 Cr,New,Possession by Dec 18992 open sides 10 L booking amount,No
696,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,"1,888 / sq ft", 34 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
697,"Residential Plot in corals bay bhogapuramBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1800 ,"1,055 / sq ft", 19 L,New,1 open sides 1 L booking amountNorth facing,No
698,"Residential Plot in golden wavesBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1800 ,"1,000 / sq ft", 18 L,New,1 open sides 1 L booking amountNorth facing,No
699,"Residential Plot in Peram Aditya Grand EliteTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1850 ,"2,216 / sq ft", 41 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
700,"2 BHK Apartment in Honeyy sreenivasam 97 lankellapalemLankelapalem, Visakhapatnam",yelamajinolli,"Lankelapalem, Visakhapatnam",1025 ,"3,512 / sq ft", 36 L,Ready to move,0 - 1 year old2 Bathrooms3rd of 5floor,No
701,"3 BHK Villa in Sri Shiva Dream ValleyDuvvada, Visakhapatnam",kiran,"Duvvada, Visakhapatnam",1850 ,"4,594 / sq ft", 85 L,Ready to move,1 - 2 years old3 BathroomsNew ,No
702,"3 BHK Apartment in Mahesh infraconKommadi Road, Visakhapatnam",Mahesh agent,"Kommadi Road, Visakhapatnam",1840 ,"4,021 / sq ft", 74 L,Ready to move,0 - 1 year old3 Bathrooms5th of 5floor,No
703,"3 BHK Apartment in Honeyy SreenivasamAchutapuram, Visakhapatnam",Sunkara Kalyani,"Achutapuram, Visakhapatnam",1300 ,"2,769 / sq ft", 36 L,Under Construction,Possession by Jul 20253 Bathrooms2nd of 5floor,Yes
704,"Residential Plot in Peram Aditya Lahari IIModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",2166 ,784 / sq ft, 17 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
705,"Residential Plot in alluris nandanavanamDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",2400 ,"1,375 / sq ft", 33 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
706,"Residential Plot in peram aditya grand eliteBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1818 ,"1,760 / sq ft", 32 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
707,"Residential Plot in peram aditya anadithaRevidi Main Road, Visakhapatnam",property advisor,"Revidi Main Road, Visakhapatnam",3600 ,833 / sq ft, 30 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
708,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",2403 ,"1,539 / sq ft", 37 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
709,"2 BHK Apartment in Utkarsha Capital TowersMadhurawada, Visakhapatnam",Utkarsha Constructions,"Madhurawada, Visakhapatnam",1325 ,"5,000 / sq ft", 66.25 L,Under Construction,Possession by Dec 20252 Bathrooms7th of 8floor,Yes
710,"2 BHK Apartment in Utkarsha Capital TowersMadhurawada, Visakhapatnam",Utkarsha Constructions,"Madhurawada, Visakhapatnam",1255 ,"5,000 / sq ft", 62.75 L,Under Construction,Possession by Dec 20252 Bathrooms3rd of 8floor,Yes
711,"Residential Plot in Peram Aditya Grand EliteTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1790 ,"1,787 / sq ft", 32 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
712,"Residential Plot in golden cityAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",2300 ,"1,956 / sq ft", 45 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
713,"Residential Plot in the golden cityAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",1800 ,"1,944 / sq ft", 35 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
714,"Residential Plot in Peram Aditya Lahari IIModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1818 ,770 / sq ft, 14 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
715,"Residential Plot in AA GROUPS Plots MadhurawadaVisakhapatnamMadhurawada, Visakhapatnam",AA GROUPS,"Madhurawada, Visakhapatnam",1800 ,"10,000 / sq ft", 1.8 Cr,Resale,1 open sides 10 L booking amountEast facing,No
716,"Residential Plot in golden citySontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",7200 ,"1,944 / sq ft", 1.4 Cr,New,Possession by Dec 18992 open sides 10 L booking amount,No
717,"Residential Plot in Peram Aditya Varna Phase IINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",990 ,"1,818 / sq ft", 18 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
718,"Residential Plot in Amrutha GrandKothavalasa Vizianagaram Road, Visakhapatnam",property advisor,"Kothavalasa Vizianagaram Road, Visakhapatnam",1800 ,833 / sq ft, 15 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
719,"Residential Plot in Fortune infraKothavalasa, Visakhapatnam",Rajesh,"Kothavalasa, Visakhapatnam",1800 ,322 / sq ft, 5.8 L,New,"3 years old2 open sides 50,000 booking amount",No
720,"Residential Plot in Fortune infraAnandapuram, Visakhapatnam",Rajesh,"Anandapuram, Visakhapatnam",1503 ,"2,433 / sq ft", 36.57 L,New,1 year old2 open sides 1 L booking amount,No
721,"Residential Plot in seshadri townshipBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1803 ,"1,275 / sq ft", 23 L,New,1 open sides 2 L booking amountSouth facing,No
722,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",4000 ,"2,125 / sq ft", 85 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
723,"Residential Plot in Peram Aditya Grand EliteTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",3150 ,"2,285 / sq ft", 72 L,New,Possession by Dec 18991 open sides 5 L booking amount,No
724,"2 BHK Apartment in Harshitha EdificePMPalem, Visakhapatnam",Fortune Properties,"PMPalem, Visakhapatnam",1200 ,"4,200 / sq ft", 50.4 L,Under Construction,Possession by Dec 20212 Bathrooms2nd of 5floor,No
725,"3 BHK ApartmentGajuwaka, Visakhapatnam",RAVIKUMAR TELU,"Gajuwaka, Visakhapatnam",1500 ,"3,800 / sq ft", 57 L,Under Construction,Possession by Nov 20222 Bathrooms1st of 5floor,No
726,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",kiran,"Lankelapalem, Visakhapatnam",1250 ,"3,840 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
727,"2 BHK Apartment in Gajuwakha projact sOld Gajuwaka Visakhapatnam, Visakhapatnam",honeyy group,"Old Gajuwaka Visakhapatnam, Visakhapatnam",1040 ,"3,269 / sq ft", 34 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 2floor,No
728,"2 BHK Apartment in Sri Pavan Pavan Mitra AppartmentsMadhurawada, Visakhapatnam",durga,"Madhurawada, Visakhapatnam",895 ,"4,245 / sq ft", 38 L,Ready to move,1 year old2 Bathrooms6th of 8floor,No
729,"3 BHK Apartment in Sri Sai Sruthi HomesMadhurawada, Visakhapatnam",kalyan,"Madhurawada, Visakhapatnam",1250 ,"4,640 / sq ft", 58 L,Under Construction,Possession by Dec 20223 Bathrooms2nd of 5floor,Yes
730,"Residential Plot in seshadri townshipBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1809 ,"1,105 / sq ft", 20 L,New,1 open sides 2 L booking amountSouth facing,No
731,"Residential Plot in Legend KanakMamidilova, Visakhapatnam",property advisor,"Mamidilova, Visakhapatnam",1809 ,"1,990 / sq ft", 36 L,New,1 open sides 2 L booking amountEast facing,No
732,"Residential Plot in Peram Aditya Varna Phase IIINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1809 ,"2,211 / sq ft", 40 L,New,1 open sides 2 L booking amountEast facing,No
733,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1802 ,"1,886 / sq ft", 34 L,New,1 open sides 1 L booking amountEast facing,No
