,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
2687,"2 BHK Apartment in Sri Sai Srinivasa Royal homes constructionKommadi Road, Visakhapatnam",parvathi,"Kommadi Road, Visakhapatnam",1116 ,"4,579 / sq ft", 51.1 L,Under Construction,Possession by Oct 20222 Bathrooms3rd of 5floor,No
2688,"2 BHK Apartment in Blue J MajesticBheemunipatnam, Visakhapatnam",venkat,"Bheemunipatnam, Visakhapatnam",1000 ,"3,200 / sq ft", 32 L,Ready to move,1 - 2 years old2 Bathrooms3rd of 5floor,No
2689,"3 BHK Apartment in Sky infra constructionPMPalem, Visakhapatnam",parvathi,"PMPalem, Visakhapatnam",2000 ,"4,900 / sq ft", 98 L,Under Construction,3 Bathrooms2nd of 5floorNew ,No
2690,"2 BHK Apartment in Sri Pavan Pavan Mitra AppartmentsMadhurawada, Visakhapatnam",venkat,"Madhurawada, Visakhapatnam",828 ,"4,347 / sq ft", 36 L,Ready to move,2 Bathrooms5th of 8floorNew ,No
2691,"2 BHK Apartment in AVK Cherishma AvenuePothinamallayya Palem, Visakhapatnam",parvathi,"Pothinamallayya Palem, Visakhapatnam",926 ,"4,967 / sq ft", 46 L,Under Construction,Possession by Aug 20222 Bathrooms5th of 5floor,Yes
2692,"2 BHK Apartment in Sree Sai Surya brathi enclavePMPalem, Visakhapatnam",parvathi,"PMPalem, Visakhapatnam",1000 ,"4,440 / sq ft", 44.4 L,Under Construction,Possession by Dec 20222 Bathrooms5th of 5floor,No
2693,"2 BHK Apartment in Akash arcade construction yendadaYendada, Visakhapatnam",parvathi,"Yendada, Visakhapatnam",1140 ,"5,275 / sq ft", 60.14 L,Under Construction,Possession by Oct 20242 Bathrooms1st of 5floor,No
2694,"2 BHK Apartment in Sree nivasam atchuthapuramAtchutapuram, Visakhapatnam",Neelu Neelima,"Atchutapuram, Visakhapatnam",1000 ,"2,400 / sq ft", 24 L,Under Construction,Possession by Jan 20252 Bathrooms2nd of 5floor,No
2695,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",Dileep,"Achutapuram, Visakhapatnam",1000 ,"2,100 / sq ft", 21 L,Under Construction,Possession by May 20242 Bathrooms1st of 5floor,Yes
2696,"2 BHK Apartment in Sri Surya bharathiPothinamallayya Palem, Visakhapatnam",smart homes,"Pothinamallayya Palem, Visakhapatnam",1000 ,"4,400 / sq ft", 44 L,Under Construction,Possession by Sep 20222 Bathrooms3rd of 5floor,No
2697,"3 BHK Apartment in Mohan SquareEndada, Visakhapatnam",smart homes,"Endada, Visakhapatnam",2079 ,"5,396 / sq ft", 1.12 Cr,Ready to move,1 - 2 years old3 Bathrooms4th of 5floor,No
2698,"3 BHK Apartment in Nanaji constructionsEndada, Visakhapatnam",smart homes,"Endada, Visakhapatnam",1850 ,"5,208 / sq ft", 96.35 L,Ready to move,1 - 2 years old3 Bathrooms1st of 5floor,No
2699,"3 BHK Apartment in Rama chandra sea parkEndada, Visakhapatnam",smart homes,"Endada, Visakhapatnam",2365 ,"5,384 / sq ft", 1.27 Cr,Ready to move,1 - 2 years old3 Bathrooms3rd of 5floor,No
2700,"2 BHK Apartment in Shyam arcade constructionMadhurawada, Visakhapatnam",parvathi,"Madhurawada, Visakhapatnam",960 ,"4,608 / sq ft", 44.24 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
2701,"3 BHK Apartment in Vishnu enclavePothinamallayya Palem, Visakhapatnam",smart homes,"Pothinamallayya Palem, Visakhapatnam",1725 ,"4,415 / sq ft", 76.17 L,Under Construction,Possession by Oct 20223 Bathrooms3rd of 5floor,No
